Student Name	Prearranged	Preference 1	Preference 2	Preference 3	Preference 4	Preference 5	Preference 6	Preference 7	Preference 8	Preference 9	Preference 10
Travis Bickle	No	Automatic landmark extraction from geo-located flickr images	Forensic Analysis of P2P Instant Messaging	Analysis of urban street networks - constructing a dual representation	Recommending Movies Using Curated IMDb Lists	Twitter Network Analysis	Forensic Disk Image Reconstruction from Deduplicated Data Storage	Music Mood Classification	Age related interaction differences		
Tyler Durden	No	Automatic landmark extraction from geo-located flickr images	Recommendation Game 2	The Recommendation Game 1	Recommending Movies Using Curated IMDb Lists	Mobile Application to Enhance Manual Chest Physiotherapy for People with Chronic Respiratory Conditions	Exploring the Irish Political Landscape on Twitter	3D printing and augmented reality systems in novel vascular models	Learning to play Whist by Genetic Programming	A Web-Based Server Energy Model Generator	SDN Controller GUI: a mouse-based OpenFlow controller
Sam Winchester	No	Biography Reading Media Assistant	Literature Review Assistant	Exploring the Irish Political Landscape on Twitter	Genetic Algorithms for Community Finding in Social Networks	Twitter Network Analysis	Recommending Movies Using Curated IMDb Lists	Evaluating the combination of search engine results	Visualisation of Egocentric Networks	Personalisation with Privacy	Review-based Recommendation
Dean Winchester	No	Biography Reading Media Assistant	Music Mood Classification	Literature Review Assistant	Deep learning remote sensing images to classify land usage on Earth	Recommending Movies Using Curated IMDb Lists	Implement a Mutlimedia Archive	Orbital Prediction for Earth Observation	Analysis of urban street networks - constructing a dual representation	Personalisation with Privacy	Automatic landmark extraction from geo-located flickr images
Jesus Christ	No	Biography Reading Media Assistant	Automatic landmark extraction from geo-located flickr images	Age related interaction differences	Exploring the Irish Political Landscape on Twitter	Analysis of urban street networks - constructing a dual representation	Genetic Algorithms for Community Finding in Social Networks				
Lucifer	No	Drone based re-establishment of communications for humanitarian rescue organisations	Recommendation Game 2	The Recommendation Game 1	Travel Planner for Commuters	Recommending Movies Using Curated IMDb Lists	Cost Estimator for Cloud Services	A Web-Based Server Energy Model Generator	Adaptive coaching and stress reduction	Twitter Network Analysis	ASTRA on Android
Eric Cartman	No	Drone based re-establishment of communications for humanitarian rescue organisations	Building a 3D room from a Kinect carrying Drone	Deep learning remote sensing images to classify land usage on Earth	Generating 3D Models Using Unmanned Aerial Vehicles (UAVs)	Mobile and Crowdsourced Community Activism	Personalisation with Privacy	Reputation in Recommender Systems	Review-based Recommendation	Mobile Application to Enhance Manual Chest Physiotherapy for People with Chronic Respiratory Conditions	PromptMe: A Personalisable Speech Interface for Conversation Prompting
Agent Phil Coulson	No	Exploiting long-range correlation in biological data by frequency analysis and artificial neural networks	Exploiting long-range correlation in biological data by frequency analysis and artificial neural networks	Exploiting long-range correlation in biological data by frequency analysis and artificial neural networks	Molecular twists: predicting torsional angles in proteins	Molecular twists: predicting torsional angles in proteins	Recommending Movies Using Curated IMDb Lists	Forensic Analysis of P2P Instant Messaging	Age related interaction differences	A Benchmark for Highly Heterogeneous Computing Platforms	A data mining solution for analysing social security fraud
Nick Fury	No	Forensic Analysis of P2P Instant Messaging	Forensic Disk Image Reconstruction from Deduplicated Data Storage	Twitter Network Analysis	SDN Controller GUI: a mouse-based OpenFlow controller	Exploiting long-range correlation in biological data by frequency analysis and artificial neural networks					
Russell Brand	No	Learning to play Whist by Bayesian Network  	Learning to play Whist by Genetic Programming	Learning to play Whist by Temporal Difference Learning	Travel Planner for Commuters	A Benchmark for Highly Heterogeneous Computing Platforms	Recommending Movies Using Curated IMDb Lists				
Jeremy Paxman	No	Learning to play Whist by Temporal Difference Learning	Building a 3D room from a Kinect carrying Drone	Drone based re-establishment of communications for humanitarian rescue organisations	Generating 3D Models Using Unmanned Aerial Vehicles (UAVs)	Augmented Reality Scalextric	3D stereolithographic models placed in virtual reality as an assist in preoperative planning	3D printing and augmented reality systems in novel vascular models			
Boris Johnson	No	Learning to play Whist by Temporal Difference Learning	Learning to play Whist by Genetic Programming	Genetic Algorithms for Community Finding in Social Networks	Route Visualization for Indoor Navigation	The Shape of Tales to Come	Histogram-based Counterforensics of Digital Images	A data mining solution for analysing social security fraud	Exploiting long-range correlation in biological data by frequency analysis and artificial neural networks	Forensic Disk Image Reconstruction from Deduplicated Data Storage	Forensic Analysis of P2P Instant Messaging
Ebenezer Scrooge	No	Literature Review Assistant	Reversible Watermarking Benchmark	Biography Reading Media Assistant	Drone based re-establishment of communications for humanitarian rescue organisations	Molecular twists: predicting torsional angles in proteins	Symbol-to-Vec for Newgrange	Evaluating the combination of search engine results	Exploiting long-range correlation in biological data by frequency analysis and artificial neural networks	Histogram-based Counterforensics of Digital Images	N-Gram or Not N-Gram: Investigating Prediction in the Phonotactic Domain
Wilkins Micawber	No	Literature Review Assistant	Biography Reading Media Assistant	Genetic Algorithms for Community Finding in Social Networks	Personalisation with Privacy	Forensic Disk Image Reconstruction from Deduplicated Data Storage	Evaluating the combination of search engine results	Histogram-based Counterforensics of Digital Images			
